borrower_id,age,age_group,gender,region,membership_type,borrower_category,book_category,loan_period_days,books_borrowed_last_6m,previous_late_returns,days_before_due_reminder_sent,account_fines_amount,library_visits_last_3m,renewal_used,distance_to_library_km,late_return
LB0272,51,51+,Female,West,Premium,Family,Fiction,28,11,1,7,20.64,1,Yes,9.5,0
LB0273,28,26-35,Male,North,Senior,Regular,Fiction,14,16,0,1,13.11,5,No,38.4,1
LB0274,80,51+,Female,South,Standard,Casual,Children,7,14,0,2,22.83,14,Yes,29.1,0
LB0275,50,36-50,Male,West,Standard,Regular,Technology,7,11,0,5,8.84,7,Yes,18.9,0
LB0276,56,51+,Female,West,Student,Casual,Technology,28,15,0,2,41.13,1,Yes,22.5,1
LB0277,69,51+,Male,South,Premium,Casual,Textbook,7,28,1,2,32.05,4,No,2.3,0
LB0278,62,51+,Female,South,Senior,Regular,Non-fiction,14,33,1,3,51.33,13,Yes,4.2,0
LB0279,81,51+,Female,North,Student,Regular,Non-fiction,14,12,0,1,39.77,2,Yes,11.8,1
LB0280,25,18-25,Female,North,Student,Family,Textbook,21,30,0,3,42.34,17,Yes,32.0,0
LB0281,81,51+,Male,East,Student,Casual,Textbook,7,14,2,5,82.11,16,Yes,1.9,1
LB0282,75,51+,Female,East,Standard,Casual,Children,14,10,1,7,68.73,14,No,28.0,1
LB0283,43,36-50,Female,North,Student,Regular,Technology,21,27,1,3,73.41,6,Yes,33.4,0
LB0284,80,51+,Male,West,Standard,Casual,Textbook,7,33,0,7,67.56,12,No,15.8,1
LB0285,28,26-35,Male,East,Student,Family,Children,7,5,1,5,33.32,8,Yes,27.8,1
LB0286,41,36-50,Male,West,Senior,Regular,Children,14,18,0,2,59.94,8,No,34.7,1
LB0287,67,51+,Female,North,Student,Casual,Children,14,28,0,1,16.19,11,No,24.0,0
LB0288,60,51+,Male,West,Standard,Regular,Fiction,21,11,1,3,81.52,2,No,25.7,1
LB0289,55,51+,Female,South,Standard,Regular,Technology,21,10,0,7,17.11,12,No,17.9,0
LB0290,60,51+,Male,East,Premium,Regular,Fiction,7,10,0,2,0.03,13,No,6.0,0
LB0291,69,51+,Male,North,Student,Casual,Non-fiction,7,33,0,3,76.51,15,Yes,13.7,0
LB0292,33,26-35,Female,East,Standard,Family,Non-fiction,14,13,0,2,78.77,1,Yes,36.0,1
LB0293,30,26-35,Male,North,Standard,Regular,Textbook,21,30,0,5,10.89,4,Yes,33.9,0
LB0294,26,26-35,Female,East,Senior,Casual,Non-fiction,28,24,0,2,31.16,12,Yes,29.3,0
LB0295,44,36-50,Male,North,Standard,Regular,Children,7,30,0,7,56.58,8,Yes,39.6,1
LB0296,53,51+,Male,North,Student,Casual,Non-fiction,28,28,0,7,4.5,0,Yes,16.4,0
LB0297,36,36-50,Female,West,Standard,Research,Technology,7,15,1,7,82.5,17,Yes,23.2,1
LB0298,18,18-25,Male,West,Student,Casual,Children,28,32,1,1,8.13,16,No,27.1,1
LB0299,63,51+,Female,West,Standard,Research,Children,7,27,0,7,50.11,8,No,11.7,1
LB0300,54,51+,Male,East,Premium,Family,Non-fiction,7,35,0,3,82.36,3,No,30.4,1
LB0301,72,51+,Female,West,Premium,Regular,Fiction,28,18,0,3,,9,Yes,23.9,0
LB0302,35,26-35,Female,East,Student,Research,Children,28,14,1,1,36.92,14,Yes,5.4,0
LB0303,78,51+,Male,South,Student,Regular,Fiction,7,11,0,2,57.91,5,Yes,39.9,1
LB0304,40,36-50,Female,East,Student,Casual,Non-fiction,7,27,3,7,21.37,1,No,37.3,1
LB0305,27,26-35,Female,South,Standard,Regular,Textbook,21,11,1,2,40.0,2,No,27.5,1
LB0306,17,18-25,Female,West,Senior,Family,Technology,28,14,3,5,54.9,14,No,31.3,1
LB0307,62,51+,Female,South,Student,Regular,Non-fiction,7,11,1,7,9.55,5,No,12.4,0
LB0308,82,51+,Male,East,Student,Casual,Textbook,14,23,3,7,65.99,9,Yes,23.7,1
LB0309,48,36-50,Female,North,Standard,Casual,Technology,14,3,0,3,61.39,0,Yes,10.6,0
LB0310,17,18-25,Male,East,Senior,Regular,Fiction,21,35,0,5,9.92,15,No,19.5,0
LB0311,80,51+,Male,West,Premium,Regular,Children,21,25,3,2,54.85,5,Yes,37.9,1
LB0312,77,51+,Female,East,Standard,Casual,Technology,7,29,0,1,73.68,16,No,1.2,1
LB0313,66,51+,Female,South,Senior,Regular,Fiction,28,23,0,7,3.44,14,No,2.9,0
LB0314,23,18-25,Male,South,Senior,Regular,Children,28,18,0,7,72.01,1,Yes,28.2,0
LB0315,82,51+,Male,East,Premium,Casual,Non-fiction,7,24,2,3,23.78,12,No,2.8,0
LB0316,19,18-25,Male,North,Premium,Family,Textbook,21,35,0,2,52.75,8,No,4.2,0
LB0317,50,36-50,Female,North,Student,Family,Fiction,7,28,1,1,44.45,14,Yes,35.9,1
LB0318,34,26-35,Female,South,Senior,Casual,Technology,21,6,1,1,73.68,11,No,30.3,1
LB0319,48,36-50,Female,East,Standard,Family,Technology,28,10,5,5,54.48,6,No,4.3,1
LB0320,68,51+,Male,South,Senior,Casual,Technology,21,35,0,3,75.64,4,No,34.6,1
LB0321,72,51+,Female,South,Premium,Regular,Non-fiction,7,12,3,2,6.01,4,No,36.4,1
LB0322,25,18-25,Male,North,Standard,Research,Children,14,12,0,5,37.98,13,No,14.3,0
LB0323,67,51+,Female,North,Standard,Casual,Fiction,28,13,1,2,84.19,15,Yes,5.4,0
LB0324,46,36-50,Female,East,Standard,Regular,Non-fiction,28,2,0,1,69.87,3,Yes,34.6,0
LB0325,34,26-35,Male,East,Student,Family,Fiction,28,1,4,5,70.2,8,No,18.0,1
LB0326,30,26-35,Male,West,Standard,Family,Non-fiction,7,34,2,3,37.52,2,No,36.5,1
LB0327,59,51+,Male,West,Standard,Regular,Children,14,25,0,2,46.18,7,Yes,9.4,0
LB0328,68,51+,Female,North,Student,Regular,Fiction,7,27,0,1,57.65,0,No,5.0,1
LB0329,68,51+,Male,North,Premium,Regular,Non-fiction,21,29,3,3,63.94,9,Yes,2.9,0
LB0330,23,18-25,Male,South,Standard,Regular,Technology,21,3,0,7,34.81,11,Yes,24.4,0
LB0331,78,51+,Male,West,Senior,Regular,Fiction,7,14,0,7,81.13,13,Yes,38.0,1
LB0332,30,26-35,Male,East,Student,Regular,Textbook,7,21,1,7,79.08,6,Yes,26.7,1
LB0333,18,18-25,Female,East,Premium,Casual,Fiction,7,15,0,3,10.77,13,Yes,13.9,0
LB0334,40,36-50,Male,North,Premium,Research,Technology,14,10,0,3,31.84,4,Yes,33.0,0
LB0335,47,36-50,Male,East,Premium,Casual,Fiction,7,32,0,3,52.37,14,Yes,23.2,0
LB0336,23,18-25,Female,North,Student,Regular,Non-fiction,7,30,1,3,29.68,2,Yes,22.6,1
LB0337,37,36-50,Male,North,Student,Regular,Children,14,21,0,5,16.09,1,No,34.1,0
LB0338,64,51+,Female,North,Student,Family,Technology,7,27,0,2,48.29,4,No,6.0,0
LB0339,27,26-35,Male,East,Premium,Regular,Textbook,14,8,0,1,45.97,15,Yes,35.1,0
LB0340,76,51+,Male,West,Student,Regular,Fiction,28,20,2,3,66.71,8,No,36.1,1
LB0341,49,36-50,Female,West,Standard,Regular,Children,28,14,1,5,80.73,15,Yes,34.1,0
LB0342,73,51+,Female,North,Student,Casual,Children,14,19,2,1,69.47,11,Yes,24.4,0
LB0343,29,26-35,Female,South,Premium,Family,Fiction,14,13,1,3,55.06,11,No,3.8,1
LB0344,47,36-50,Female,South,Student,Family,Technology,21,16,2,1,9.57,7,Yes,34.5,1
LB0345,72,51+,Female,West,Standard,Regular,Fiction,7,9,2,5,23.38,13,Yes,21.2,0
LB0346,36,36-50,Male,South,Student,Regular,Children,7,24,0,2,0.27,4,No,32.4,0
LB0347,25,18-25,Female,East,Student,Casual,Textbook,21,23,0,7,23.99,10,Yes,2.5,0
LB0348,65,51+,Female,South,Student,Casual,Non-fiction,21,22,0,1,2.48,0,No,16.0,0
LB0349,17,18-25,Male,West,Senior,Regular,Fiction,28,4,0,2,41.14,10,Yes,7.1,0
LB0350,82,51+,Female,North,Standard,Family,Fiction,14,18,1,1,16.51,18,Yes,29.4,0
LB0351,81,51+,Female,North,Standard,Regular,Technology,28,28,0,3,6.14,1,No,10.4,1
LB0352,82,51+,Male,East,Senior,Casual,Fiction,14,32,0,5,74.53,2,Yes,38.9,1
LB0353,52,51+,Female,West,Student,Casual,Textbook,7,3,1,2,75.92,18,No,18.5,1
LB0354,20,18-25,Male,South,Standard,Casual,Textbook,21,18,0,1,61.31,0,Yes,21.3,1
LB0355,33,26-35,Male,North,Standard,Regular,Textbook,14,35,2,2,48.94,7,Yes,36.9,1
LB0356,78,51+,Male,North,Standard,Casual,Non-fiction,28,14,3,5,84.62,12,No,11.6,1
LB0357,66,51+,Male,East,Premium,Casual,Non-fiction,14,2,3,7,3.02,2,No,12.5,1
LB0358,46,36-50,Female,North,Student,Casual,Technology,14,23,0,2,47.35,6,No,25.9,1
LB0359,46,36-50,Female,North,Standard,Casual,Non-fiction,21,29,0,5,13.89,11,Yes,1.3,0
LB0360,45,36-50,Male,East,Premium,Family,Fiction,14,27,0,5,37.04,10,No,29.8,0
